step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
241,CASH_OUT,325470.07,C570536992,325470.07,0.0,C437423112,19771.15,345241.22,1,0
287,TRANSFER,223730.4,C734008057,223730.4,0.0,C1763626980,0.0,0.0,1,0
433,TRANSFER,1191183.65,C180129024,1191183.65,0.0,C1802674568,0.0,0.0,1,0
717,CASH_OUT,6512846.44,C1850890702,6512846.44,0.0,C944966910,132217.8,6645064.24,1,0
392,TRANSFER,251832.96,C1019966301,251832.96,0.0,C483110811,0.0,0.0,1,0
529,CASH_OUT,1773151.32,C1093594459,1773151.32,0.0,C50284383,775203.68,2548354.99,1,0
612,TRANSFER,346183.99,C2061792169,346183.99,0.0,C966741210,0.0,0.0,1,0
307,CASH_OUT,376367.26,C672988614,376367.26,0.0,C563840868,0.0,376367.26,1,0
60,CASH_OUT,40486.25,C1413149184,40486.25,0.0,C713338583,4716889.9,4757376.15,1,0
231,TRANSFER,1638865.05,C1131542233,1638865.05,0.0,C1376992525,0.0,0.0,1,0
197,CASH_OUT,486060.16,C558066114,486060.16,0.0,C1244940749,0.0,486060.16,1,0
704,CASH_OUT,391855.44,C1221041967,391855.44,0.0,C2055287072,236228.52,628083.96,1,0
258,TRANSFER,618270.9,C1716255280,618270.9,0.0,C79653418,0.0,0.0,1,0
46,TRANSFER,35016.23,C397528199,35016.23,0.0,C1325281003,0.0,0.0,1,0
563,TRANSFER,633610.66,C1996751665,633610.66,0.0,C533492345,0.0,0.0,1,0
629,CASH_OUT,7922.98,C1629313873,7922.98,0.0,C215301926,0.0,7922.98,1,0
549,TRANSFER,461442.52,C597797196,461442.52,0.0,C1745977074,0.0,0.0,1,0
191,CASH_OUT,2815.61,C1729215544,2815.61,0.0,C1583247514,64348.28,67163.9,1,0
454,TRANSFER,278577.6,C270286609,278577.6,0.0,C311232614,0.0,0.0,1,0
433,CASH_OUT,1191183.65,C2023614214,1191183.65,0.0,C1887453436,0.0,1191183.65,1,0
717,TRANSFER,394605.69,C667718878,394605.69,0.0,C1909363754,0.0,0.0,1,0
181,TRANSFER,12278.0,C1274609372,12278.0,0.0,C1409623409,0.0,0.0,1,0
164,CASH_OUT,276042.59,C2133722439,276042.59,0.0,C2121024241,734229.64,1010272.23,1,0
692,TRANSFER,701697.49,C949298943,701697.49,0.0,C30912856,0.0,0.0,1,0
223,CASH_OUT,2308798.26,C2091244147,2308798.26,0.0,C1649766027,771002.6,3079800.87,1,0
637,TRANSFER,58521.53,C1367937262,58521.53,0.0,C407576849,0.0,0.0,1,0
9,CASH_OUT,361559.69,C684758020,361559.69,0.0,C1769042905,504667.31,189441.24,1,0
177,TRANSFER,382960.64,C881672878,382960.64,0.0,C5616107,0.0,0.0,1,0
669,TRANSFER,5388834.64,C2045535389,5388834.64,0.0,C1440223571,0.0,0.0,1,0
64,TRANSFER,841052.98,C1837436553,841052.98,0.0,C611839321,0.0,0.0,1,0
66,CASH_OUT,4631432.03,C2089741901,4631432.03,0.0,C434503423,122727.22,4754159.25,1,0
57,CASH_OUT,1014816.16,C1871778702,1014816.16,0.0,C2092796486,1417511.04,2432327.2,1,0
284,CASH_OUT,498747.55,C1268687725,498747.55,0.0,C1524935695,0.0,498747.55,1,0
642,CASH_OUT,20281.44,C1585523750,20281.44,0.0,C1744383627,85764.25,106045.69,1,0
37,CASH_OUT,5979556.06,C1240594546,5979556.06,0.0,C579897687,0.0,5979556.06,1,0
680,TRANSFER,1819405.69,C256643277,1819405.69,0.0,C865759561,0.0,0.0,1,0
740,TRANSFER,1312694.5,C1681615431,1312694.5,0.0,C492082350,0.0,0.0,1,0
296,TRANSFER,5591414.49,C68688915,5591414.49,0.0,C1379652013,0.0,0.0,1,0
244,CASH_OUT,53338.82,C671943963,53338.82,0.0,C1516151145,982332.85,1035671.67,1,0
422,TRANSFER,298365.86,C331578052,298365.86,0.0,C18819667,0.0,0.0,1,0
46,TRANSFER,585010.21,C1948614614,585010.21,0.0,C218558993,0.0,0.0,1,0
610,TRANSFER,528149.74,C1626028230,528149.74,0.0,C581480789,0.0,0.0,1,0
61,TRANSFER,1372301.24,C1544506396,1372301.24,0.0,C2060264943,0.0,0.0,1,0
207,TRANSFER,682063.33,C1460251004,682063.33,0.0,C1783331478,0.0,0.0,1,0
